order_id,customer_id,order_date,product_category,total_price
1,353,2023-03-22,Apparel,28.92
2,196,2022-03-20,Electronics,72.86
3,793,2022-08-24,Apparel,120.07
4,916,2022-11-30,Electronics,407.44
5,930,2022-12-15,Apparel,440.47
6,666,2022-04-08,Apparel,45.01
7,382,2022-03-23,Apparel,25.91
8,645,2023-05-17,Electronics,374.83
9,227,2023-04-22,Apparel,75.34
10,701,2023-12-05,Home Goods,75.17
11,476,2023-07-04,Home Goods,20.96
12,477,2022-01-14,Home Goods,34.41
13,265,2023-01-27,Electronics,139.2
14,372,2022-12-13,Electronics,41.85
15,486,2022-11-06,Home Goods,190.75
16,434,2023-01-21,Home Goods,418.06
17,646,2022-07-28,Home Goods,169.9
18,211,2022-12-23,Books,366.64
19,572,2023-08-24,Home Goods,56.02
20,940,2023-07-22,Apparel,333.09
21,377,2022-04-04,Books,165.21
22,395,2022-04-03,Books,377.38
23,450,2022-12-06,Electronics,76.76
24,943,2023-08-20,Apparel,449.96
25,364,2023-03-21,Electronics,128.86
26,876,2022-01-22,Electronics,183.04
27,457,2022-10-18,Apparel,475.59
28,725,2023-04-30,Electronics,293.46
29,728,2022-11-02,Apparel,189.23
30,226,2023-09-26,Apparel,475.31
31,982,2022-05-08,Electronics,171.25
32,131,2023-09-17,Home Goods,56.49
33,588,2022-09-30,Electronics,498.46
34,476,2023-03-18,Books,141.24
35,798,2023-05-18,Electronics,427.12
36,986,2022-05-10,Apparel,91.11
37,277,2022-05-12,Books,368.36
38,156,2023-08-20,Apparel,266.98
39,760,2023-04-27,Home Goods,490.64
40,218,2023-01-25,Home Goods,280.89
41,190,2023-08-16,Books,22.26
42,417,2022-11-21,Home Goods,305.9
43,981,2022-03-10,Home Goods,81.21
44,675,2023-10-22,Electronics,401.29
45,692,2023-03-24,Electronics,429.72
46,546,2023-06-12,Home Goods,246.23
47,41,2023-09-09,Home Goods,393.78
48,307,2022-06-14,Electronics,81.1
49,943,2023-05-03,Home Goods,251.12
50,338,2023-12-14,Home Goods,203.03
51,314,2023-12-10,Apparel,309.55
52,75,2023-03-02,Home Goods,31.79
53,953,2023-11-28,Books,378.54
54,279,2022-09-22,Apparel,48.77
55,176,2023-09-04,Books,331.67
56,896,2022-12-08,Home Goods,19.04
57,662,2023-12-27,Electronics,417.63
58,273,2022-10-05,Apparel,95.6
59,837,2023-11-05,Electronics,262.59
60,620,2023-03-15,Apparel,138.13
61,651,2022-06-06,Electronics,364.1
62,862,2023-02-26,Apparel,167.46
63,783,2022-09-08,Apparel,365.06
64,859,2023-09-01,Books,149.59
65,931,2023-06-14,Electronics,378.71
66,289,2022-11-23,Books,25.0
67,724,2022-04-07,Books,148.82
68,893,2023-05-28,Electronics,254.33
69,272,2022-08-04,Apparel,32.08
70,930,2022-05-12,Books,101.16
71,66,2022-09-17,Electronics,467.92
72,483,2022-05-05,Apparel,488.65
73,936,2022-03-23,Books,372.48
74,248,2022-10-10,Books,133.58
75,156,2023-11-14,Books,137.65
76,47,2022-02-28,Apparel,326.44
77,935,2023-06-28,Books,67.62
78,454,2022-06-10,Apparel,474.67
79,201,2022-10-11,Home Goods,120.16
80,660,2022-04-16,Books,499.82
81,124,2022-04-15,Home Goods,252.91
82,1,2023-03-15,Electronics,388.0
83,968,2022-08-16,Books,11.07
84,759,2023-12-01,Electronics,445.49
85,855,2023-08-05,Electronics,142.3
86,640,2022-11-14,Electronics,337.29
87,191,2023-04-09,Home Goods,405.11
88,579,2023-08-22,Apparel,90.43
89,516,2023-04-17,Home Goods,226.83
90,442,2022-02-25,Home Goods,251.98
91,921,2023-09-17,Electronics,162.94
92,815,2022-01-13,Books,246.06
93,806,2023-03-16,Apparel,165.6
94,143,2022-01-18,Electronics,186.77
95,191,2023-11-25,Apparel,337.97
96,533,2022-04-23,Home Goods,319.97
97,227,2022-08-17,Apparel,123.81
98,313,2022-06-20,Apparel,449.77
99,629,2022-10-22,Books,432.77
100,949,2022-07-08,Electronics,259.45
101,302,2023-03-02,Apparel,222.29
102,654,2022-03-20,Apparel,194.66
103,996,2023-10-20,Home Goods,356.56
104,460,2022-07-01,Home Goods,339.12
105,401,2023-05-14,Apparel,106.13
106,551,2023-12-09,Electronics,339.01
107,393,2022-03-12,Apparel,133.69
108,867,2022-09-05,Apparel,19.09
109,764,2022-05-26,Books,352.61
110,845,2023-09-10,Electronics,325.95
111,207,2022-10-23,Books,211.3
112,210,2023-08-05,Electronics,267.59
113,115,2023-04-15,Electronics,474.11
114,737,2023-05-21,Electronics,301.65
115,646,2022-07-12,Books,332.36
116,251,2022-03-09,Books,41.32
117,219,2023-05-09,Books,91.34
118,407,2022-02-21,Home Goods,157.47
119,443,2022-12-29,Books,274.3
120,603,2023-04-19,Home Goods,390.53
121,354,2023-06-05,Home Goods,167.41
122,888,2023-03-07,Home Goods,184.63
123,558,2022-10-25,Apparel,135.51
124,550,2023-03-11,Apparel,134.76
125,142,2023-11-27,Apparel,474.94
126,612,2023-11-22,Home Goods,321.37
127,501,2022-07-17,Home Goods,86.39
128,840,2022-05-08,Electronics,363.9
129,702,2023-06-16,Home Goods,363.79
130,547,2023-02-15,Apparel,336.57
131,659,2022-03-06,Home Goods,76.01
132,542,2023-11-25,Home Goods,209.92
133,846,2022-08-29,Electronics,62.31
134,507,2023-01-04,Home Goods,410.14
135,596,2023-06-20,Books,331.03
136,881,2023-01-19,Electronics,258.53
137,281,2023-03-07,Home Goods,178.08
138,424,2022-03-24,Home Goods,100.28
139,856,2023-11-28,Electronics,62.16
140,270,2023-09-03,Home Goods,484.93
141,154,2023-07-28,Apparel,107.83
142,614,2022-10-13,Books,39.34
143,727,2023-06-18,Books,481.22
144,662,2023-04-04,Apparel,278.99
145,944,2022-07-31,Home Goods,400.36
146,83,2022-05-06,Home Goods,31.45
147,622,2023-02-17,Books,287.8
148,947,2023-05-14,Home Goods,205.12
149,899,2023-03-01,Books,388.26
150,426,2023-07-08,Books,28.83
151,275,2023-09-02,Apparel,206.83
152,713,2023-06-27,Books,401.55
153,284,2022-06-07,Home Goods,266.12
154,980,2022-04-22,Home Goods,279.52
155,173,2023-02-06,Electronics,57.61
156,327,2022-05-02,Home Goods,74.84
157,718,2022-09-30,Electronics,341.73
158,63,2022-10-21,Books,340.77
159,73,2023-02-02,Home Goods,489.76
160,763,2023-04-16,Apparel,358.86
161,636,2022-07-26,Apparel,251.69
162,375,2022-04-20,Apparel,430.09
163,633,2023-03-16,Books,61.19
164,508,2022-10-05,Books,230.15
165,787,2023-07-22,Electronics,150.68
166,943,2023-07-23,Apparel,61.27
167,398,2023-04-27,Electronics,384.12
168,120,2022-04-24,Electronics,260.29
169,934,2023-04-22,Home Goods,282.82
170,437,2023-12-11,Home Goods,211.52
171,829,2022-11-17,Apparel,235.57
172,676,2022-06-28,Books,66.85
173,936,2022-08-07,Home Goods,339.73
174,465,2023-06-12,Books,221.9
175,286,2023-05-07,Electronics,410.22
176,265,2022-03-02,Electronics,106.18
177,320,2022-02-23,Electronics,110.48
178,673,2023-11-11,Electronics,326.42
179,376,2023-06-22,Apparel,424.54
180,820,2022-03-06,Electronics,241.38
181,89,2023-09-04,Home Goods,366.21
182,654,2023-08-09,Electronics,499.67
183,203,2023-12-05,Books,495.23
184,821,2022-06-20,Home Goods,374.73
185,739,2022-09-30,Books,372.4
186,955,2023-11-30,Books,131.33
187,334,2023-06-19,Apparel,418.43
188,222,2023-01-26,Apparel,208.5
189,41,2023-11-24,Books,481.38
190,708,2022-11-23,Books,49.9
191,68,2022-04-18,Electronics,223.56
192,988,2022-06-11,Home Goods,282.36
193,776,2023-03-28,Electronics,208.53
194,514,2022-07-25,Apparel,113.18
195,873,2023-08-13,Apparel,300.56
196,637,2022-01-16,Electronics,380.4
197,622,2022-11-23,Home Goods,325.97
198,598,2023-08-31,Books,124.88
199,937,2023-10-21,Electronics,368.49
200,632,2022-01-02,Apparel,135.88
201,127,2022-01-10,Home Goods,95.85
202,255,2023-03-10,Apparel,348.43
203,695,2022-05-05,Home Goods,422.97
204,16,2022-03-22,Home Goods,245.95
205,477,2023-04-30,Home Goods,270.38
206,62,2023-10-14,Electronics,158.35
207,881,2022-05-30,Electronics,252.36
208,432,2022-12-06,Electronics,74.67
209,670,2022-05-09,Home Goods,478.36
210,268,2023-03-14,Home Goods,402.18
211,35,2023-05-16,Apparel,337.31
212,779,2022-02-27,Books,273.72
213,576,2022-07-17,Electronics,398.16
214,494,2022-07-30,Home Goods,252.43
215,562,2022-02-14,Apparel,156.99
216,469,2022-04-07,Apparel,88.58
217,767,2022-10-06,Apparel,327.32
218,661,2023-06-19,Electronics,465.42
219,325,2023-02-14,Electronics,85.27
220,304,2023-04-06,Books,98.21
221,276,2023-01-26,Apparel,222.47
222,869,2022-02-13,Electronics,405.38
223,963,2022-01-27,Apparel,154.02
224,684,2022-04-07,Home Goods,134.42
225,929,2023-07-02,Apparel,313.78
226,201,2023-09-13,Books,272.45
227,445,2023-07-21,Electronics,39.51
